PERMNO,date,TICKER,COMNAM,PRC,VOL,SHROUT,OPENPRC
21413,2022-01-25,META,LISTED FUNDS TRUST,12.43000,1801800,61525,12.48000
21413,2022-01-26,META,LISTED FUNDS TRUST,12.28000,2167547,61525,12.80000
21413,2022-01-27,META,LISTED FUNDS TRUST,11.95000,1300741,61525,12.43000
21413,2022-01-28,META,LISTED FUNDS TRUST,12.31000,1571954,61525,11.99800
21413,2022-01-31,METV,LISTED FUNDS TRUST,13.00000,851193,66800,12.37000
21413,2022-02-01,METV,LISTED FUNDS TRUST,13.13000,1008690,66800,13.20000
21413,2022-02-02,METV,LISTED FUNDS TRUST,13.11000,1061460,66800,13.38000
21413,2022-02-03,METV,LISTED FUNDS TRUST,12.20000,1466658,66800,12.48000
21413,2022-02-04,METV,LISTED FUNDS TRUST,12.80000,797194,66800,12.50000
21413,2022-02-07,METV,LISTED FUNDS TRUST,12.72000,895940,66800,12.86000
21413,2022-02-08,METV,LISTED FUNDS TRUST,12.82000,1533756,66800,12.60000
21413,2022-02-09,METV,LISTED FUNDS TRUST,13.32000,742195,66800,13.05000
21413,2022-02-10,METV,LISTED FUNDS TRUST,12.99000,866282,66800,13.04000
21413,2022-02-11,METV,LISTED FUNDS TRUST,12.52000,808073,66800,13.00000
21413,2022-02-14,METV,LISTED FUNDS TRUST,12.43000,515726,66800,12.48000
21413,2022-02-15,METV,LISTED FUNDS TRUST,12.92000,421995,66800,12.71000
21413,2022-02-16,METV,LISTED FUNDS TRUST,12.60000,721401,66800,12.62500
21413,2022-02-17,METV,LISTED FUNDS TRUST,12.10000,1010283,66800,12.43000
21413,2022-02-18,METV,LISTED FUNDS TRUST,11.83000,903991,66800,12.14000
21413,2022-02-22,METV,LISTED FUNDS TRUST,11.63000,1176773,66800,11.62000
21413,2022-02-23,METV,LISTED FUNDS TRUST,11.37000,1064355,66800,11.76000
21413,2022-02-24,METV,LISTED FUNDS TRUST,11.79000,1649411,66800,10.83000
21413,2022-02-25,METV,LISTED FUNDS TRUST,11.97000,913376,66800,11.86000
21413,2022-02-28,METV,LISTED FUNDS TRUST,12.08000,486989,65975,11.80000
21413,2022-03-01,METV,LISTED FUNDS TRUST,11.78000,575757,65975,12.01000
21413,2022-03-02,METV,LISTED FUNDS TRUST,11.89000,719307,65975,11.80000
21413,2022-03-03,METV,LISTED FUNDS TRUST,11.53000,745511,65975,11.91000
21413,2022-03-04,METV,LISTED FUNDS TRUST,11.19000,591022,65975,11.33000
